# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
44, generated044.png, generated045.png, 1, 490.407, 385.380, 440.221, 439.140, 465.707, 411.840, -0.682391, 0.730987, 73.544, 2.321825, 3621
45, generated045.png, generated046.png, 1, 106.509, 110.460, 135.743, 246.209, 120.502, 175.436, 0.210527, 0.977588, 138.861, 1.358682, 8977
46, generated046.png, generated047.png, 1, 704.564, 446.307, 747.441, 493.419, 724.425, 468.130, 0.673097, 0.739554, 63.702, 0.832408, 2562
47, generated047.png, generated048.png, 1, 583.002, 34.526, 398.003, 34.384, 491.679, 34.456, -1.000000, -0.000768, 184.999, -3.140825, 8136
48, generated048.png, generated049.png, 1, 21.868, 113.228, 38.185, 194.164, 29.884, 152.993, 0.197627, 0.980277, 82.564, 1.371859, 2285
49, generated049.png, generated050.png, 1, 405.195, 491.671, 358.974, 580.032, 381.180, 537.581, -0.463514, 0.886090, 99.720, 2.052753, 4594
50, generated050.png, generated051.png, 1, 370.205, 254.867, 293.463, 386.600, 327.913, 327.465, -0.503372, 0.864070, 152.456, 2.098293, 7635
52, generated052.png, generated053.png, 1, 749.643, 95.867, 562.927, 101.620, 668.513, 98.366, -0.999526, 0.030798, 186.805, 3.110790, 6235
53, generated053.png, generated054.png, 1, 344.235, 258.787, 366.683, 389.227, 354.585, 318.932, 0.169600, 0.985513, 132.357, 1.400372, 5342
54, generated054.png, generated055.png, 1, 356.015, 487.243, 243.954, 486.258, 297.346, 486.727, -0.999961, -0.008791, 112.066, -3.132802, 4005
55, generated055.png, generated056.png, 1, 416.077, 43.492, 332.274, 103.172, 373.610, 73.734, -0.814561, 0.580078, 102.882, 2.522768, 7687
56, generated056.png, generated057.png, 1, 222.007, 467.232, 115.941, 466.222, 168.247, 466.720, -0.999955, -0.009517, 106.071, -3.132075, 5158
57, generated057.png, generated058.png, 1, 738.604, 157.076, 592.354, 129.147, 666.822, 143.368, -0.982250, -0.187577, 148.893, -2.952898, 9646
58, generated058.png, generated059.png, 1, 267.411, 40.421, 344.675, 157.230, 305.208, 97.563, 0.551689, 0.834050, 140.051, 0.986409, 9107
59, generated059.png, generated060.png, 1, 455.544, 505.247, 399.905, 604.080, 425.018, 559.471, -0.490565, 0.871405, 113.418, 2.083534, 3735
60, generated060.png, generated061.png, 1, 146.095, 207.492, 119.326, 307.887, 131.017, 264.040, -0.257630, 0.966244, 103.902, 1.831365, 3618
61, generated061.png, generated062.png, 1, 422.004, 422.884, 337.020, 422.613, 377.802, 422.743, -0.999995, -0.003182, 84.984, -3.138411, 3703
62, generated062.png, generated063.png, 1, 714.482, 226.420, 564.143, 171.608, 637.082, 198.201, -0.939505, -0.342535, 160.020, -2.791979, 3084
63, generated063.png, generated064.png, 1, 181.928, 194.690, 176.553, 247.955, 179.206, 221.668, -0.100407, 0.994946, 53.535, 1.671373, 1404
64, generated064.png, generated065.png, 1, 738.166, 303.121, 740.767, 471.127, 739.408, 383.354, 0.015478, 0.999880, 168.026, 1.555318, 3299
65, generated065.png, generated066.png, 1, 134.932, 143.569, 153.956, 212.737, 144.515, 178.411, 0.265197, 0.964194, 71.737, 1.302389, 1715
