# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
313, generated313.png, generated314.png, 1, 474.278, 145.507, 463.014, 162.010, 468.349, 154.194, -0.563766, 0.825935, 19.980, 2.169735, 129
314, generated314.png, generated315.png, 1, 304.083, 303.244, 280.444, 311.302, 292.529, 307.183, -0.946511, 0.322673, 24.975, 2.813041, 104
315, generated315.png, generated316.png, 1, 310.986, 84.513, 281.981, 85.366, 294.969, 84.984, -0.999568, 0.029406, 29.017, 3.112183, 64
316, generated316.png, generated317.png, 1, 288.100, 100.917, 301.688, 117.259, 294.846, 109.031, 0.639361, 0.768907, 21.254, 0.877129, 65
317, generated317.png, generated318.png, 1, 467.025, 112.256, 428.995, 115.950, 446.538, 114.246, -0.995314, 0.096695, 38.209, 3.044747, 65
318, generated318.png, generated319.png, 1, 433.221, 334.646, 438.309, 352.200, 435.667, 343.083, 0.278374, 0.960473, 18.277, 1.288695, 84
319, generated319.png, generated320.png, 1, 404.011, 1.030, 384.003, 1.242, 393.609, 1.141, -0.999944, 0.010588, 20.009, 3.131005, 64
320, generated320.png, generated321.png, 1, 746.017, 339.530, 717.016, 340.476, 732.375, 339.975, -0.999468, 0.032621, 29.017, 3.108966, 80
321, generated321.png, generated322.png, 1, 507.942, 218.821, 480.870, 227.598, 494.643, 223.132, -0.951254, 0.308409, 28.460, 2.828073, 227
322, generated322.png, generated323.png, 1, 632.998, 195.990, 614.883, 199.375, 623.453, 197.774, -0.982987, 0.183674, 18.428, 2.956870, 53
323, generated323.png, generated324.png, 1, 717.938, 148.737, 694.078, 154.334, 705.587, 151.635, -0.973579, 0.228351, 24.508, 2.911209, 104
324, generated324.png, generated325.png, 1, 222.978, 135.784, 188.041, 139.398, 205.346, 137.608, -0.994691, 0.102910, 35.123, 3.038500, 153
325, generated325.png, generated326.png, 1, 128.236, 242.938, 110.695, 258.770, 118.986, 251.286, -0.742360, 0.670001, 23.630, 2.407383, 213
326, generated326.png, generated327.png, 1, 678.916, 290.243, 651.916, 293.239, 665.289, 291.756, -0.993900, 0.110283, 27.166, 3.031085, 135
327, generated327.png, generated328.png, 1, 265.083, 321.539, 242.992, 324.947, 254.339, 323.196, -0.988315, 0.152424, 22.353, 2.988572, 112
328, generated328.png, generated329.png, 1, 410.038, 342.234, 376.947, 347.679, 391.674, 345.256, -0.986730, 0.162372, 33.536, 2.978498, 86
329, generated329.png, generated330.png, 1, 247.056, 193.363, 219.979, 194.480, 232.886, 193.947, -0.999150, 0.041233, 27.101, 3.100347, 114
330, generated330.png, generated331.png, 1, 306.929, 168.524, 273.988, 164.087, 289.086, 166.121, -0.991054, -0.133465, 33.239, -3.007728, 58
331, generated331.png, generated332.png, 1, 319.328, 35.179, 308.121, 30.698, 313.791, 32.965, -0.928546, -0.371218, 12.070, -2.761272, 86
332, generated332.png, generated333.png, 1, 237.027, 135.406, 205.999, 134.017, 221.139, 134.694, -0.999000, -0.044717, 31.058, -3.096861, 108
333, generated333.png, generated334.png, 1, 464.144, 176.902, 438.012, 181.075, 452.049, 178.833, -0.987489, 0.157688, 26.463, 2.983244, 102
334, generated334.png, generated335.png, 1, 428.933, 273.510, 400.911, 277.352, 413.977, 275.561, -0.990734, 0.135820, 28.284, 3.005352, 132
335, generated335.png, generated336.png, 1, 484.766, 150.308, 440.727, 165.193, 460.618, 158.471, -0.947350, 0.320200, 46.486, 2.815652, 68
336, generated336.png, generated337.png, 1, 372.986, 184.870, 344.976, 187.771, 360.885, 186.123, -0.994679, 0.103024, 28.160, 3.038385, 122
337, generated337.png, generated338.png, 1, 101.008, 134.570, 70.000, 133.993, 85.537, 134.282, -0.999827, -0.018591, 31.013, -3.123000, 149
338, generated338.png, generated339.png, 1, 653.574, 236.434, 641.519, 252.392, 647.286, 244.758, -0.602747, 0.797932, 20.000, 2.217736, 91
339, generated339.png, generated340.png, 1, 621.457, 272.744, 607.644, 289.710, 614.873, 280.831, -0.631367, 0.775484, 21.878, 2.254111, 118
340, generated340.png, generated341.png, 1, 516.166, 75.469, 498.057, 69.819, 507.308, 72.705, -0.954618, -0.297832, 18.970, -2.839172, 78
341, generated341.png, generated342.png, 1, 302.633, 275.961, 303.947, 297.066, 303.305, 286.758, 0.062157, 0.998066, 21.146, 1.508599, 95
342, generated342.png, generated343.png, 1, 264.917, 133.703, 235.969, 130.264, 248.956, 131.807, -0.993020, -0.117948, 29.151, -3.023369, 114
343, generated343.png, generated344.png, 1, 116.966, 158.810, 92.057, 163.316, 103.671, 161.215, -0.984025, 0.178029, 25.313, 2.962609, 79
344, generated344.png, generated345.png, 1, 396.011, 1.849, 382.000, 2.024, 388.922, 1.938, -0.999922, 0.012499, 14.011, 3.129093, 64
345, generated345.png, generated346.png, 1, 207.005, 357.452, 190.996, 357.641, 199.239, 357.543, -0.999930, 0.011827, 16.011, 3.129765, 46
346, generated346.png, generated347.png, 1, 173.995, 131.031, 153.026, 127.828, 163.756, 129.467, -0.988532, -0.151009, 21.212, -2.990004, 45
347, generated347.png, generated348.png, 1, 286.000, 117.021, 263.002, 117.216, 275.562, 117.109, -0.999964, 0.008477, 22.999, 3.133115, 64
348, generated348.png, generated349.png, 1, 705.730, 315.940, 702.860, 328.969, 704.447, 321.763, -0.215102, 0.976592, 13.341, 1.787592, 38
349, generated349.png, generated350.png, 1, 457.130, 153.644, 431.180, 158.890, 444.584, 156.180, -0.980173, 0.198145, 26.475, 2.942127, 161
350, generated350.png, generated351.png, 1, 265.011, 239.033, 246.729, 245.196, 255.500, 242.239, -0.947617, 0.319408, 19.293, 2.816488, 46
351, generated351.png, generated352.png, 1, 129.018, 52.835, 107.945, 50.497, 118.515, 51.670, -0.993902, -0.110267, 21.203, -3.031101, 97
352, generated352.png, generated353.png, 1, 586.871, 322.546, 562.830, 329.406, 573.014, 326.500, -0.961623, 0.274375, 25.000, 2.863653, 74
353, generated353.png, generated354.png, 1, 620.937, 169.778, 604.142, 174.506, 612.344, 172.197, -0.962586, 0.270978, 17.448, 2.867184, 61
354, generated354.png, generated355.png, 1, 659.942, 273.031, 647.084, 287.077, 653.582, 279.978, -0.675246, 0.737593, 19.042, 2.312094, 91
355, generated355.png, generated356.png, 1, 289.341, 246.535, 271.101, 258.159, 281.316, 251.649, -0.843295, 0.537451, 21.629, 2.574181, 57
356, generated356.png, generated357.png, 1, 552.048, 235.689, 530.015, 237.213, 541.239, 236.437, -0.997617, 0.068990, 22.086, 3.072548, 71
357, generated357.png, generated358.png, 1, 41.638, 45.784, 48.122, 64.959, 44.680, 54.780, 0.320378, 0.947290, 20.241, 1.244667, 50
358, generated358.png, generated359.png, 1, 701.507, 247.263, 691.471, 259.233, 695.775, 254.100, -0.642461, 0.766318, 15.620, 2.268502, 80
359, generated359.png, generated360.png, 1, 589.763, 238.881, 563.241, 245.908, 575.031, 242.785, -0.966646, 0.256115, 27.438, 2.882591, 130
360, generated360.png, generated361.png, 1, 686.991, 353.843, 643.019, 356.340, 662.018, 355.261, -0.998392, 0.056681, 44.043, 3.084882, 111
361, generated361.png, generated362.png, 1, 544.305, 124.529, 521.023, 109.423, 532.865, 117.106, -0.838881, -0.544314, 27.754, -2.566021, 170
362, generated362.png, generated363.png, 1, 454.062, 314.882, 456.304, 335.077, 455.361, 326.583, 0.110319, 0.993896, 20.319, 1.460252, 72
363, generated363.png, generated364.png, 1, 602.124, 335.260, 590.020, 341.042, 595.947, 338.211, -0.902314, 0.431079, 13.414, 2.695904, 57
364, generated364.png, generated365.png, 1, 298.000, 203.915, 274.997, 203.828, 286.810, 203.873, -0.999993, -0.003786, 23.004, -3.137806, 63
365, generated365.png, generated366.png, 1, 645.913, 250.637, 627.037, 255.156, 636.263, 252.947, -0.972519, 0.232822, 19.409, 2.906615, 38
366, generated366.png, generated367.png, 1, 670.091, 286.660, 654.964, 288.741, 662.350, 287.725, -0.990671, 0.136279, 15.269, 3.004888, 40
367, generated367.png, generated368.png, 1, 84.054, 210.795, 65.997, 206.011, 74.972, 208.389, -0.966649, -0.256104, 18.680, -2.882604, 72
368, generated368.png, generated369.png, 1, 593.167, 255.002, 593.011, 269.000, 593.086, 262.271, -0.011145, 0.999938, 13.999, 1.581942, 70
369, generated369.png, generated370.png, 1, 590.845, 229.365, 585.122, 242.621, 587.458, 237.208, -0.396388, 0.918083, 14.439, 1.978375, 72
370, generated370.png, generated371.png, 1, 345.020, 345.086, 327.996, 348.980, 336.652, 347.000, -0.974816, 0.223013, 17.464, 2.916689, 23
371, generated371.png, generated372.png, 1, 516.672, 218.216, 500.702, 224.899, 508.646, 221.575, -0.922478, 0.386050, 17.312, 2.745247, 127
372, generated372.png, generated373.png, 1, 82.081, 149.001, 62.964, 147.445, 72.526, 148.224, -0.996705, -0.081110, 19.181, -3.060393, 76
373, generated373.png, generated374.png, 1, 175.088, 156.137, 159.909, 165.858, 167.451, 161.028, -0.842125, 0.539282, 18.025, 2.572008, 71
374, generated374.png, generated375.png, 1, 242.009, 0.739, 220.000, 1.017, 230.426, 0.885, -0.999920, 0.012613, 22.011, 3.128979, 61
375, generated375.png, generated376.png, 1, 123.107, 145.237, 103.125, 154.277, 114.000, 149.357, -0.911086, 0.412216, 21.932, 2.716707, 42
376, generated376.png, generated377.png, 1, 547.993, 98.341, 500.993, 97.310, 526.513, 97.870, -0.999760, -0.021924, 47.011, -3.119666, 115
377, generated377.png, generated378.png, 1, 486.922, 186.439, 463.951, 189.649, 476.206, 187.937, -0.990375, 0.138408, 23.194, 3.002739, 63
378, generated378.png, generated379.png, 1, 245.038, 176.514, 216.051, 178.679, 229.178, 177.699, -0.997221, 0.074507, 29.068, 3.067017, 146
379, generated379.png, generated380.png, 1, 652.629, 308.699, 639.473, 320.526, 645.845, 314.798, -0.743642, 0.668578, 17.690, 2.409298, 84
380, generated380.png, generated381.png, 1, 254.968, 257.909, 235.872, 264.637, 244.857, 261.471, -0.943177, 0.332289, 20.246, 2.802863, 70
381, generated381.png, generated382.png, 1, 371.182, 3.833, 352.073, 5.735, 363.015, 4.646, -0.995083, 0.099046, 19.204, 3.042384, 65
382, generated382.png, generated383.png, 1, 223.028, 121.467, 196.996, 120.083, 209.495, 120.747, -0.998588, -0.053117, 26.070, -3.088451, 95
383, generated383.png, generated384.png, 1, 238.700, 256.678, 228.848, 265.836, 233.333, 261.667, -0.732422, 0.680851, 13.452, 2.392668, 45
384, generated384.png, generated385.png, 1, 658.680, 217.582, 646.141, 227.184, 652.344, 222.433, -0.793946, 0.607988, 15.793, 2.488069, 90
385, generated385.png, generated386.png, 1, 704.047, 160.868, 676.078, 150.783, 690.382, 155.941, -0.940715, -0.339197, 29.732, -2.795529, 68
386, generated386.png, generated387.png, 1, 683.006, 326.266, 660.994, 326.734, 672.000, 326.500, -0.999774, 0.021262, 22.016, 3.120329, 40
387, generated387.png, generated388.png, 1, 380.398, 98.683, 391.870, 113.103, 385.987, 105.709, 0.622600, 0.782540, 18.427, 0.898735, 79
388, generated388.png, generated389.png, 1, 624.788, 253.812, 612.579, 267.628, 618.370, 261.074, -0.662211, 0.749318, 18.437, 2.294561, 54
389, generated389.png, generated390.png, 1, 223.638, 141.035, 198.762, 150.365, 209.972, 146.160, -0.936308, 0.351181, 26.568, 2.782760, 106
390, generated390.png, generated391.png, 1, 657.990, 338.727, 638.979, 339.412, 648.104, 339.083, -0.999351, 0.036026, 19.024, 3.105559, 48
391, generated391.png, generated392.png, 1, 553.475, 114.435, 537.101, 100.688, 545.410, 107.664, -0.765868, -0.642997, 21.379, -2.443187, 122
392, generated392.png, generated393.png, 1, 224.666, 279.548, 211.957, 288.942, 218.261, 284.283, -0.804155, 0.594420, 15.804, 2.505049, 46
393, generated393.png, generated394.png, 1, 130.000, 158.058, 112.000, 158.019, 120.810, 158.038, -0.999998, -0.002154, 18.000, -3.139439, 79
394, generated394.png, generated395.png, 1, 202.335, 232.374, 190.210, 243.234, 195.957, 238.087, -0.744904, 0.667172, 16.278, 2.411187, 69
395, generated395.png, generated396.png, 1, 647.991, 333.835, 626.001, 335.027, 636.613, 334.452, -0.998536, 0.054099, 22.022, 3.087467, 31
396, generated396.png, generated397.png, 1, 545.055, 98.662, 527.012, 100.149, 536.160, 99.395, -0.996619, 0.082160, 18.103, 3.059340, 81
397, generated397.png, generated398.png, 1, 280.013, 302.953, 259.923, 297.272, 269.516, 299.984, -0.962258, -0.272138, 20.878, -2.865978, 64
398, generated398.png, generated399.png, 1, 150.038, 166.379, 134.988, 167.881, 143.188, 167.062, -0.995054, 0.099336, 15.124, 3.042092, 32
