# pair_index, img_from, img_to, component_id, start_x, start_y, end_x, end_y, centroid_x, centroid_y, unit_dir_x, unit_dir_y, length_px, angle_rad, size_pixels
165, generated165.png, generated166.png, 1, 327.082, 421.259, 294.921, 417.723, 308.840, 419.253, -0.994011, -0.109281, 32.355, -3.032093, 162
166, generated166.png, generated167.png, 1, 627.406, 133.002, 589.843, 113.063, 609.351, 123.418, -0.883277, -0.468852, 42.527, -2.653602, 851
167, generated167.png, generated168.png, 1, 147.017, 33.968, 150.554, 147.983, 148.773, 90.579, 0.031013, 0.999519, 114.069, 1.539778, 1623
168, generated168.png, generated169.png, 1, 655.541, 323.462, 609.297, 357.404, 632.628, 340.279, -0.806163, 0.591694, 57.364, 2.508434, 952
169, generated169.png, generated170.png, 1, 179.101, 145.921, 183.412, 206.114, 181.488, 179.248, 0.071425, 0.997446, 60.347, 1.499311, 697
171, generated171.png, generated172.png, 1, 659.850, 305.805, 608.476, 358.441, 634.524, 331.753, -0.698477, 0.715632, 73.551, 2.344064, 1653
172, generated172.png, generated173.png, 1, 225.636, 121.818, 179.889, 150.422, 201.643, 136.820, -0.847894, 0.530165, 53.953, 2.582797, 1072
173, generated173.png, generated174.png, 1, 65.386, 496.666, 108.436, 546.487, 87.493, 522.250, 0.653814, 0.756655, 65.844, 0.858182, 1232
174, generated174.png, generated175.png, 1, 12.693, 181.334, 21.994, 252.214, 17.778, 220.084, 0.130105, 0.991500, 71.487, 1.440322, 2401
176, generated176.png, generated177.png, 1, 630.333, 327.176, 619.049, 348.554, 624.332, 338.544, -0.466793, 0.884367, 24.173, 2.056457, 259
177, generated177.png, generated178.png, 1, 59.900, 161.841, 74.492, 180.919, 67.044, 171.181, 0.607538, 0.794291, 24.018, 0.917839, 182
178, generated178.png, generated179.png, 1, 640.238, 326.214, 613.248, 356.223, 626.573, 341.408, -0.668728, 0.743507, 40.361, 2.303293, 735
179, generated179.png, generated180.png, 1, 259.208, 181.466, 249.116, 215.333, 254.258, 198.078, -0.285594, 0.958351, 35.338, 1.860423, 702
181, generated181.png, generated182.png, 1, 493.011, 126.990, 528.806, 164.225, 510.443, 145.123, 0.693025, 0.720914, 51.651, 0.805120, 1029
182, generated182.png, generated183.png, 1, 291.455, 191.397, 250.156, 231.199, 269.134, 212.909, -0.720038, 0.693935, 57.357, 2.374653, 1586
184, generated184.png, generated185.png, 1, 295.670, 218.993, 295.885, 270.009, 295.778, 244.511, 0.004219, 0.999991, 51.016, 1.566578, 1192
185, generated185.png, generated186.png, 1, 363.781, 416.945, 329.791, 423.991, 344.875, 420.864, -0.979182, 0.202987, 34.713, 2.937186, 280
186, generated186.png, generated187.png, 1, 477.002, 113.994, 388.468, 93.025, 429.294, 102.694, -0.973081, -0.230464, 90.983, -2.909038, 1175
187, generated187.png, generated188.png, 1, 326.260, 285.632, 335.997, 319.001, 331.052, 302.053, 0.280109, 0.959968, 34.760, 1.286888, 731
189, generated189.png, generated190.png, 1, 205.711, 237.833, 182.425, 313.594, 194.271, 275.052, -0.293804, 0.955866, 79.258, 1.869000, 1698
191, generated191.png, generated192.png, 1, 531.193, 268.848, 526.941, 347.160, 528.855, 311.899, -0.054214, 0.998529, 78.427, 1.625037, 1528
192, generated192.png, generated193.png, 1, 229.683, 207.753, 207.356, 236.500, 218.498, 222.154, -0.613389, 0.789781, 36.398, 2.231141, 857
195, generated195.png, generated196.png, 1, 626.900, 558.780, 584.021, 578.249, 605.209, 568.629, -0.910547, 0.413406, 47.092, 2.715401, 862
196, generated196.png, generated197.png, 1, 460.900, 161.133, 411.536, 123.961, 436.112, 142.467, -0.798843, -0.601540, 61.795, -2.496165, 902
197, generated197.png, generated198.png, 1, 120.705, 157.203, 53.329, 140.661, 84.255, 148.254, -0.971158, -0.238438, 69.377, -2.900835, 964
199, generated199.png, generated200.png, 1, 710.030, 2.126, 560.947, 4.211, 628.437, 3.267, -0.999902, 0.013980, 149.097, 3.127612, 1079
200, generated200.png, generated201.png, 1, 534.571, 407.207, 422.294, 436.274, 478.808, 421.643, -0.968084, 0.250624, 115.979, 2.888267, 4495
201, generated201.png, generated202.png, 1, 562.000, 2.159, 459.000, 2.171, 510.597, 2.165, -1.000000, 0.000119, 103.000, 3.141474, 546
202, generated202.png, generated203.png, 1, 484.047, 7.794, 371.876, 33.214, 417.587, 22.855, -0.975271, 0.221012, 115.015, 2.918741, 3774
203, generated203.png, generated204.png, 1, 156.008, 594.430, 96.009, 594.242, 126.049, 594.336, -0.999995, -0.003123, 60.000, -3.138470, 369
204, generated204.png, generated205.png, 1, 707.016, 529.137, 605.653, 541.047, 657.311, 534.977, -0.993169, 0.116688, 102.060, 3.024639, 2162
205, generated205.png, generated206.png, 1, 230.212, 290.395, 149.564, 258.008, 189.843, 274.183, -0.927971, -0.372653, 86.908, -2.759726, 2668
206, generated206.png, generated207.png, 1, 375.005, 1.834, 303.008, 2.266, 338.122, 2.055, -0.999982, 0.006011, 71.999, 3.135582, 362
207, generated207.png, generated208.png, 1, 650.170, 39.856, 609.106, 107.856, 627.370, 77.611, -0.516938, 0.856023, 79.437, 2.114066, 1585
208, generated208.png, generated209.png, 1, 711.028, 594.912, 641.040, 593.986, 674.333, 594.427, -0.999913, -0.013216, 69.994, -3.128376, 415
209, generated209.png, generated210.png, 1, 54.248, 171.248, -5.604, 196.948, 25.425, 183.624, -0.918869, 0.394564, 65.137, 2.736000, 2056
210, generated210.png, generated211.png, 1, 76.250, 293.112, -0.003, 283.025, 34.653, 287.610, -0.991364, -0.131138, 76.917, -3.010075, 1447
211, generated211.png, generated212.png, 1, 348.001, 13.802, 273.994, 13.479, 313.150, 13.650, -0.999990, -0.004363, 74.008, -3.137229, 1329
212, generated212.png, generated213.png, 1, 678.030, 17.591, 590.046, 49.635, 631.516, 34.531, -0.939622, 0.342213, 93.638, 2.792321, 1690
213, generated213.png, generated214.png, 1, 133.876, 207.592, 147.560, 279.841, 141.307, 246.828, 0.186095, 0.982532, 73.534, 1.383610, 1328
214, generated214.png, generated215.png, 1, 297.166, 365.908, 244.079, 402.669, 266.732, 386.983, -0.822128, 0.569303, 64.573, 2.535935, 1267
215, generated215.png, generated216.png, 1, 705.501, 147.392, 645.405, 125.869, 675.055, 136.488, -0.941441, -0.337176, 63.834, -2.797677, 963
216, generated216.png, generated217.png, 1, 554.995, 309.783, 488.992, 310.054, 521.446, 309.921, -0.999992, 0.004113, 66.004, 3.137480, 756
217, generated217.png, generated218.png, 1, 434.823, 39.442, 376.332, 58.045, 404.026, 49.237, -0.952964, 0.303084, 61.377, 2.833666, 1529
218, generated218.png, generated219.png, 1, 74.940, 435.305, 26.658, 425.723, 51.895, 430.732, -0.980873, -0.194649, 49.223, -2.945693, 708
219, generated219.png, generated220.png, 1, 681.726, 382.192, 574.583, 413.967, 626.365, 398.610, -0.958728, 0.284325, 111.755, 2.853290, 1847
220, generated220.png, generated221.png, 1, 167.482, 577.145, 124.863, 560.756, 144.354, 568.251, -0.933371, -0.358912, 45.662, -2.774490, 848
221, generated221.png, generated222.png, 1, 537.035, 11.749, 450.998, 12.848, 496.447, 12.267, -0.999918, 0.012770, 86.044, 3.128823, 999
222, generated222.png, generated223.png, 1, 282.902, 69.177, 197.403, 85.154, 235.685, 78.001, -0.982986, 0.183683, 86.979, 2.956861, 1865
223, generated223.png, generated224.png, 1, 666.895, 249.815, 618.328, 277.574, 644.823, 262.430, -0.868193, 0.496227, 55.940, 2.622345, 453
224, generated224.png, generated225.png, 1, 204.645, 356.980, 205.094, 414.992, 204.881, 387.524, 0.007728, 0.999970, 58.014, 1.563068, 573
225, generated225.png, generated226.png, 1, 102.827, 270.659, 52.499, 284.464, 75.033, 278.283, -0.964375, 0.264537, 52.187, 2.873868, 272
226, generated226.png, generated227.png, 1, 549.017, 452.472, 475.993, 451.671, 512.882, 452.076, -0.999940, -0.010964, 73.029, -3.130629, 474
227, generated227.png, generated228.png, 1, 471.199, 510.500, 411.670, 534.170, 439.735, 523.011, -0.929236, 0.369486, 64.062, 2.763136, 457
228, generated228.png, generated229.png, 1, 746.974, 539.989, 746.661, 596.998, 746.813, 569.381, -0.005498, 0.999985, 57.010, 1.576294, 299
229, generated229.png, generated230.png, 1, 467.985, 2.813, 399.970, 3.695, 431.591, 3.285, -0.999916, 0.012960, 68.020, 3.128632, 460
230, generated230.png, generated231.png, 1, 404.364, 266.166, 374.512, 249.895, 386.965, 256.682, -0.878037, -0.478592, 33.999, -2.642542, 258
231, generated231.png, generated232.png, 1, 562.773, 474.725, 509.318, 461.697, 541.356, 469.505, -0.971560, -0.236794, 55.020, -2.902528, 550
232, generated232.png, generated233.png, 1, 275.694, 212.841, 234.469, 237.775, 254.512, 225.652, -0.855675, 0.517513, 48.179, 2.597651, 443
233, generated233.png, generated234.png, 1, 747.132, 377.994, 747.017, 413.994, 747.075, 395.931, -0.003194, 0.999995, 36.000, 1.573991, 173
234, generated234.png, generated235.png, 1, 3.862, 330.015, 3.035, 378.052, 3.422, 355.532, -0.017212, 0.999852, 48.045, 1.588009, 329
235, generated235.png, generated236.png, 1, 328.925, 124.453, 292.915, 129.381, 308.172, 127.293, -0.990767, 0.135578, 36.345, 3.005596, 99
236, generated236.png, generated237.png, 1, 683.270, 166.856, 644.316, 157.660, 663.335, 162.150, -0.973250, -0.229747, 40.024, -2.909775, 334
237, generated237.png, generated238.png, 1, 462.817, 540.441, 412.916, 546.285, 436.195, 543.559, -0.993213, 0.116306, 50.242, 3.025023, 256
238, generated238.png, generated239.png, 1, 440.047, 136.439, 401.662, 111.021, 420.554, 123.531, -0.833763, -0.552122, 46.038, -2.556685, 352
239, generated239.png, generated240.png, 1, 450.201, 153.109, 398.716, 158.023, 419.301, 156.058, -0.995478, 0.094997, 51.719, 3.046452, 326
240, generated240.png, generated241.png, 1, 234.848, 271.458, 192.800, 283.288, 210.602, 278.280, -0.962627, 0.270830, 43.680, 2.867338, 186
241, generated241.png, generated242.png, 1, 719.998, 221.991, 686.654, 230.673, 703.702, 226.234, -0.967734, 0.251974, 34.455, 2.886873, 252
242, generated242.png, generated243.png, 1, 604.034, 365.170, 562.895, 373.479, 581.873, 369.646, -0.980206, 0.197980, 41.970, 2.942296, 158
243, generated243.png, generated244.png, 1, 251.010, 403.990, 275.763, 429.214, 264.599, 417.837, 0.700402, 0.713748, 35.340, 0.794835, 369
244, generated244.png, generated245.png, 1, 670.838, 447.831, 638.778, 507.124, 655.326, 476.520, -0.475628, 0.879646, 67.406, 2.066474, 1348
245, generated245.png, generated246.png, 1, 20.414, 102.756, 38.511, 140.710, 29.383, 121.567, 0.430407, 0.902635, 42.047, 1.125852, 180
246, generated246.png, generated247.png, 1, 351.012, 4.613, 308.989, 3.352, 328.538, 3.938, -0.999550, -0.029992, 42.041, -3.111596, 275
247, generated247.png, generated248.png, 1, 663.969, 18.878, 623.746, 28.989, 644.298, 23.823, -0.969827, 0.243792, 41.475, 2.895319, 248
248, generated248.png, generated249.png, 1, 227.144, 272.603, 186.314, 282.320, 204.630, 277.961, -0.972830, 0.231522, 41.970, 2.907951, 230
249, generated249.png, generated250.png, 1, 196.431, 79.835, 202.271, 130.624, 199.342, 105.150, 0.114220, 0.993456, 51.123, 1.456327, 632
250, generated250.png, generated251.png, 1, 424.254, 404.557, 383.128, 423.282, 403.582, 413.969, -0.910099, 0.414391, 45.187, 2.714319, 196
251, generated251.png, generated252.png, 1, 108.733, 370.808, 83.735, 355.430, 96.602, 363.346, -0.851743, -0.523960, 29.349, -2.590099, 269
252, generated252.png, generated253.png, 1, 667.478, 365.919, 614.684, 391.417, 639.134, 379.608, -0.900480, 0.434898, 58.629, 2.691668, 559
253, generated253.png, generated254.png, 1, 374.211, 382.394, 352.763, 401.029, 364.324, 390.985, -0.754875, 0.655868, 28.413, 2.426260, 204
254, generated254.png, generated255.png, 1, 480.885, 16.756, 448.545, 32.036, 465.884, 23.844, -0.904159, 0.427197, 35.768, 2.700203, 224
255, generated255.png, generated256.png, 1, 372.164, 441.803, 328.956, 440.116, 348.936, 440.896, -0.999239, -0.038997, 43.240, -3.102585, 327
256, generated256.png, generated257.png, 1, 684.107, 455.245, 638.909, 452.485, 660.906, 453.828, -0.998140, -0.060966, 45.282, -3.080589, 489
257, generated257.png, generated258.png, 1, 622.909, 317.066, 580.405, 347.359, 599.726, 333.589, -0.814333, 0.580398, 52.194, 2.522375, 146
258, generated258.png, generated259.png, 1, 415.494, 432.380, 386.678, 409.403, 399.246, 419.424, -0.781873, -0.623438, 36.855, -2.468461, 578
259, generated259.png, generated260.png, 1, 296.894, 31.830, 241.381, 66.608, 273.028, 46.782, -0.847434, 0.530901, 65.507, 2.581930, 325
260, generated260.png, generated261.png, 1, 544.782, 415.590, 515.159, 431.300, 530.040, 423.408, -0.883454, 0.468518, 33.531, 2.653980, 125
261, generated261.png, generated262.png, 1, 366.022, 368.093, 330.821, 376.224, 348.004, 372.255, -0.974350, 0.225039, 36.128, 2.914610, 255
262, generated262.png, generated263.png, 1, 487.009, 54.897, 451.992, 55.261, 470.101, 55.073, -0.999946, 0.010394, 35.019, 3.131198, 386
263, generated263.png, generated264.png, 1, 291.185, 218.994, 292.858, 271.069, 292.065, 246.402, 0.032111, 0.999484, 52.102, 1.538680, 368
264, generated264.png, generated265.png, 1, 621.122, 303.879, 589.095, 305.238, 604.872, 304.568, -0.999101, 0.042400, 32.056, 3.099180, 366
265, generated265.png, generated266.png, 1, 504.395, 423.891, 472.100, 438.225, 487.509, 431.386, -0.914013, 0.405686, 35.334, 2.723864, 114
266, generated266.png, generated267.png, 1, 713.007, 10.226, 668.993, 9.850, 687.982, 10.012, -0.999963, -0.008548, 44.015, -3.133045, 169
267, generated267.png, generated268.png, 1, 427.528, 519.468, 373.355, 542.054, 397.782, 531.870, -0.922998, 0.384806, 58.692, 2.746595, 353
268, generated268.png, generated269.png, 1, 95.974, 443.915, 61.970, 444.735, 77.620, 444.357, -0.999710, 0.024089, 34.014, 3.117502, 221
269, generated269.png, generated270.png, 1, 114.007, 10.991, 75.987, 11.277, 99.312, 11.101, -0.999972, 0.007505, 38.021, 3.134087, 276
270, generated270.png, generated271.png, 1, 629.005, 265.352, 595.998, 265.829, 611.704, 265.602, -0.999895, 0.014458, 33.011, 3.127134, 314
271, generated271.png, generated272.png, 1, 733.004, 70.556, 742.644, 114.079, 737.912, 92.716, 0.216269, 0.976334, 44.578, 1.352805, 285
272, generated272.png, generated273.png, 1, 52.015, 486.714, 11.970, 484.563, 31.278, 485.600, -0.998561, -0.053619, 40.103, -3.087948, 180
